100% z brzoskwiń produkt owocowy słodzony zag.sokiem winogronowym	100% z brzoskwiń produkt owocowy słodzony zag.sokiem winogronowym	piotr i paweł s.a.	" piotr i paweł "	100 g	artykuły śniadaniowe	dżemy, konfitury, miody	133	0.5	30	1.3	True
100% z czarnych porzeczek produkt owocowy słodzony zag.sokiem winogronowym	100% z czarnych porzeczek produkt owocowy słodzony zag.sokiem winogronowym	piotr i paweł s.a.	" piotr i paweł "	100 g	artykuły śniadaniowe	dżemy, konfitury, miody	142	0.5	29	1.6	True
100% z truskawek produkt owocowy słodzony zag.sokiem winogronowym	100% z truskawek produkt owocowy słodzony zag.sokiem winogronowym	piotr i paweł s.a.	" piotr i paweł "	100 g	artykuły śniadaniowe	dżemy, konfitury, miody	129	0.6	29	1	True
100% z wiśni produkt owocowy słodzony zag.sokiem winogronowym	100% z wiśni produkt owocowy słodzony zag.sokiem winogronowym	piotr i paweł s.a.	piotr i paweł	100 g	artykuły śniadaniowe	dżemy, konfitury, miody	136	0.6	31	1.2	True
7 days croissant z nadzieniem kakaowym	croissant z nadzieniem kakaowym	star foods	7 days	100 g	słodycze i przekąski	ciastka	452	28	42	7	True
7 days croissant z nadzieniem o smaku spumante	croissant z nadzieniem o smaku spumante	star foods	7 days	100 g	słodycze i przekąski	ciastka	452	28	42	7	True
7 days doub!e max croissant z nadzieniem o smaku kakaowym i kokosowym	doub!e max croissant z nadzieniem o smaku kakaowym i kokosowym	star foods	7 days	100 g	słodycze i przekąski	ciastka	440	26	43	7	True
7 days doub!e max croissant z nadzieniem o smaku kakaowym i waniliowym	doub!e max croissant z nadzieniem o smaku kakaowym i waniliowym	star foods	7 days	100 g	słodycze i przekąski	ciastka	450	28	42	6	True
7 days doub!e max croissant z nadzieniem o smaku waniliowym i pomarańczowym	doub!e max croissant z nadzieniem o smaku waniliowym i pomarańczowym	star foods	7 days	100 g	słodycze i przekąski	ciastka	440	25	46	6	True
7 days doub!e max croissant z nadzieniem o smaku waniliowym i truskawkowym	doub!e max croissant z nadzieniem o smaku waniliowym i truskawkowym	star foods	7 days	100 g	słodycze i przekąski	ciastka	430	25	45	6	True
7 days hazelnut croissant z nadzieniem o smaku orzechów laskowych i kakaowym	hazelnut croissant z nadzieniem o smaku orzechów laskowych i kakaowym	star foods	7 days	100 g	słodycze i przekąski	ciastka	1930	28	44	7	True
