Woda	0	0	0	0
Pomidor	18	0.2	3.9	0.9
Oliwa z oliwek	884	100	0	0
Pieprz czarny	255	3.5	64.8	11
Banan	89	0.3	22	1
Czosnek	149	0.5	33.1	6.4
Cebula (świeża)	40	0.1	7.6	1.1
Jabłko (świeży owoc)	57	0.2	13.8	0.3
Sól biała	0	0	0	0
Marchew (surowa)	41	0.2	9.6	0.9
Ogórek	15	0.1	3.6	0.7
Sól morska	0	0	0	0
Płatki owsiane	389	6.9	66.3	16.9
Sok z cytryny	22	0.2	6.9	0.4
Chleb żytni razowy	217	1.2	41.5	6.7
Sałata	13	0.2	2.2	1.4
Papryka czerwona	28	0.5	6.6	1.3
Rzodkiewka	14	0.2	4.4	1
Miód pszczeli	304	0	82.4	0.3
Jogurt naturalny 2% tłuszczu	60	2	5.2	4.3
Ziemniaki	77	0.1	18.5	1.9
Ogórek kiszony	11	0.2	2.3	0.3
Bulion warzywny	6	0.1	1	0.2
Olej	884	100	0	0
Kurczak (pierś bez skóry)	121	3.7	0	21.8
Cynamon	245	1	80	3.9
Mleko 2% tłuszczu	50	2	4.8	3.3
Seler (korzeń)	21	0.3	7.7	1.6
Bułka grahamka	270	1.7	56.8	8.5
Pietruszka korzeń	83	0.5	17.1	2.6
Szczypiorek	27	0.5	5.7	1
Masło ekstra	717	81.1	0.1	0.9
Awokado	160	15	8.5	2
Cukier	386	0	100	0
Szpinak świeży	23	0.4	3.6	2.9
Kiwi	61	0.5	14.7	1.1
Jajo kurze (całe)	143	9.5	0	12.6
Pomidor koktajlowy	18	0.2	4	1
Pomarańcza	53	0.3	15.5	0.9
Pietruszka liście	36	0.8	6.3	3
Jajko ugotowane na twardo	155	10.6	1.1	12.6
Ziemniaki gotowane	86	0.1	20	1.7
Rukola	25	0.7	3.7	2.6
Cukinia	17	0.3	3.1	1.2
Jajko	145	10	0	14
Jogurt grecki light	57	0	5.2	10.2
Rodzynki	299	0.5	79.2	3.1
Cebula (czerwona)	32	0.4	6.1	1.2
Papryka (surowa)	31	0.3	6	1
Oregano	0	0	0	0
Koperek	43	1.1	7	3.5
Gruszka (świeży owoc)	58	0.1	15.4	0.4
Chleb graham	221	1.7	48.7	8.3
Brokuły	34	0.4	4	2.8
Sałata lodowa	14	0.1	3	0.9
Kawa parzona bez cukru	1	0	0	0.1
Śmietana 12% tłuszczu	134	12	4.3	2.8
Mandarynka	53	0.3	13.3	0.8
Kukurydza (konserwa)	61	0.8	13.9	2
Truskawki	32	0.3	7.7	0.7
Słonecznik ziarno	584	51.5	20	20.8
Orzechy włoskie	645	60.3	18	16
Kawa z mlekiem (2 łyżki mleka 2%)	7	1	3	1
Migdały	575	49.4	21.7	21.2
Kasza jaglana	378	4.2	72.9	11
Ksylitol cukier brzozowy	240	0	100	0
Masło śmietankowe	670	73.5	1.1	1.1
Bazylia - otarta	251	4	61	14
Herbata (parzona)	1	0	0.3	0.1
Mleko 0,5% tłuszczu	38	0.5	5	3.4
Kalafior	25	0.3	5	1.9
Kawa rozpuszczalna (bez cukru)	2	0	0.3	0.1
Przecier pomidorowy	24	0.2	5.4	1.3
Jogurt naturalny	69	3	5.8	4.6
Masło 83%	753	83	0	0
Żurawina (suszona)	308	1.4	82.4	0.1
Tymianek - otarty	270	0	60	10
Jogurt naturalny 0% tłuszczu	48	0.2	5.2	5.7
Jogurt naturalny Natur - Zott	67	3	4.2	4.9
Oliwki zielone	145	15.3	3.8	1
Papryka chili	40	0.4	8.8	1.9
Serek wiejski	97	5	2.7	11.8
Por	24	0.3	5.7	2.2
Ser Gouda	356	27	2.2	25
Mleko 1,5% tłuszczu	45	1.5	4.8	3
Chleb żytni	259	3.3	48.3	8.5
Kasza jaglana (ugotowana)	119	1	24	3.5
Chleb	247	3.4	41.3	13
Miód	324	0	79.5	0.3
Herbata (parzona) - Lipton	4	0	0	0.4
Przyprawa kmin rzymski (mielony)	0	0	0	0
Papryka (proszek)	0	0	0	0
Ryż brązowy (ugotowany)	112	0.8	23.5	2.3
Ocet balsamiczny	88	0	17	0.5
Musztarda	111	5.4	10.5	5.2
Czosnek granulowany	350	1.2	70	14.5
Serek wiejski lekki - Piątnica	81	3	2.4	11
Kawa z mlekiem (2 łyżki mleka 3.2%)	9	1	3	1
Ser Mozzarella light	254	15.9	2.8	24.3
Łosoś wędzony	153	5.3	0	24.6
Śliwki suszone	267	1.2	68.9	3.5
Jajko kurze	139	9.7	0.6	12.5
Chleb pszenno-żytni	203	1.1	43.7	4.6
Makrela wędzona	201	10.1	0	25.7
Cytryna	47	0.3	16	1
Koncentrat pomidorowy	92	1.5	16.7	5.6
Herbata zielona (parzona)	4	0	0.5	0.5
Twaróg chudy - Mlekopol	86	0.2	3.5	18.3
Pestki dyni	559	49.1	10.7	30.2
Makaron pełnoziarnisty (ugotowany)	124	0.5	26.5	5.3
Kefir naturalny 2% tłuszczu	50	2	4.7	3.4
Ogórek konserwowy	22	0.1	5	0.4
Pieczarki świeże	22	0.3	3.3	3.1
Ser Feta	264	21.3	4.1	14.2
Mleko 3,2% tłuszczu	61	3.2	4.8	3.2
Kiełki rzodkiewki	42	2.3	3.8	3.9
Ocet jabłkowy	21	0	0.9	0
Morele suszone	284	1.2	72.2	5.4
Bułka kajzerka	293	4.3	52.7	9.9
Roszponka	21	0.4	4	2
Ryż brązowy (nieugotowany)	354	3.2	72	7.7
Brzoskwinia	39	0.3	9.5	0.9
Wiórki kokosowe	660	64.5	23.7	6.9
Cukier brązowy	380	0	98.1	0.1
Curry (potrawa)	147	3	31	4
Kawa (rozpuszczona)	2	0	0.3	0.2
Przyprawa Curry	216	10	0	16
Zioła prowansalskie	0	0	0	0
Ketchup	97	0.3	25.2	1.7
Papryka słodka (proszek)	0	0	0	0
Proszek do pieczenia	51	0.2	11	1.4
Płatki owsiane górskie	376	7.2	62.4	11.9
Polędwica sopocka - Morliny	111	3.3	1.3	19
Olej	884	100	0	0
Rozmaryn świeży	127	5.8	20.5	3.3
Kawa Espresso	2	0.2	0	0.1
Kasza gryczana (ugotowana)	92	0.6	19.9	3.4
Chleb razowy - Oskroba	199	1	38	7
Papryka chili (proszek)	0	0	0	0
Szynka	96	3	0	17
Chleb pszenny	262	1.4	54.3	8.5
Sałata mix	16	0.1	1.4	1.2
Winogrona zielone	69	0.2	18.1	0.7
Indyk (pierś bez skóry)	104	1.7	4.2	17.1
Ocet winny	14	0	5.9	0
Liść laurowy	0	0	0	0
Kapusta kiszona	19	0.1	4.3	0.9
Wędlina z piersi indyka	90	0.7	1.9	19.1
Ryż biały (ugotowany)	130	0.3	28.2	2.7
Pieczarka świeża	17	0.4	2.6	2.7
Papryka żółta	27	0.2	6.3	1
Bułka pszenna	271	1.4	58.3	7.3
Brokuły (gotowane bez soli)	35	0.4	7.2	2.4
Chleb pszenny razowy	247	3.4	41.3	13
Mango	60	0.4	15	0.8
Ser Mozzarella light - Galbani	167	9	1.6	20
Kiełki lucerny	23	0.8	2	4
Szynka z indyka - Coop	126	4.8	2	18
Fasola czerwona (konserwa) - Red Kidney	114	1.1	15.8	7.2
Grejpfrut	32	0.1	8.1	0.6
Szynka wieprzowa gotowana	232	18.1	1	16.9
Szynka z piersi kurczaka (delikatna)	85	1.6	1.5	16.2
Kawa Latte	33	1.4	3	2
Jajko ugotowane na miękko	143	10	0	12
Papryka ostra (proszek)	0	0	0	0
Szpinak BABY surowy	16	0.4	0.4	2.6
Gałka muszkatołowa (mielona)	535	35.3	50.3	6
Seler (natka)	16	0.2	3	0.7
Otręby pszenne	185	4.6	61	16
Ser Parmezan	452	32	0.1	41.5
Arbuz	30	0.2	7.6	0.6
Kardamon	0	0	0	0
Ananas	50	0.1	13.1	0.5
Mleko 2% tłuszczu - Mlekovita	49	2	4.7	3
